Thời gian	Tổ chức	Chức năng	Trọng số	Đt1	Đt2	Đt3	Đt4	ĐT	Điểm quy đổi	Tổng E	Xếp loại	Nhóm	Câu hỏi	Có/Không	Điểm câu hỏi	Chú thích	Minh chứng
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu cơ bản	50%	20	25	25	22.5	92.5	46.25	85.75	A - Xuất sắc	DT1	Có ban hành hướng nghiên cứu mới và có căn cứ gắn với công nghệ chiến lược/công nghệ mới nổi không?	Có	2		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu cơ bản	50%	20	25	25	22.5	92.5	46.25	85.75	A - Xuất sắc	DT1	Có từ 02 đề tài/công bố khoa học gắn trực tiếp với hướng nghiên cứu mới không?	Có	2		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu cơ bản	50%	20	25	25	22.5	92.5	46.25	85.75	A - Xuất sắc	DT1	Có nhóm nghiên cứu chuyên trách hoặc kế hoạch đào tạo phục vụ hướng mới không?	Có	2		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu cơ bản	50%	20	25	25	22.5	92.5	46.25	85.75	A - Xuất sắc	DT1	Có hạ tầng hoặc liên kết hạ tầng phục vụ hướng nghiên cứu mới không?	Có	2		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu cơ bản	50%	20	25	25	22.5	92.5	46.25	85.75	A - Xuất sắc	DT1	Lãnh đạo có chỉ đạo triển khai hướng nghiên cứu mới bằng quyết định/kế hoạch/chỉ tiêu không?	Có	2		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu cơ bản	50%	20	25	25	22.5	92.5	46.25	85.75	A - Xuất sắc	DT1	Có hợp tác nghiên cứu với đối tác phù hợp, có triển khai và có vai trò rõ ràng không?	Có	5		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu cơ bản	50%	20	25	25	22.5	92.5	46.25	85.75	A - Xuất sắc	DT1	Có quy chế liêm chính khoa học và đạo đức nghiên cứu không?	Có	5		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu cơ bản	50%	20	25	25	22.5	92.5	46.25	85.75	A - Xuất sắc	DT2	Có công bố quốc tế đạt ngưỡng tính điểm không?	Có	6		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu cơ bản	50%	20	25	25	22.5	92.5	46.25	85.75	A - Xuất sắc	DT2	Có chỉ số FWCI/H-index đạt ngưỡng đánh giá không?	Có	10		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu cơ bản	50%	20	25	25	22.5	92.5	46.25	85.75	A - Xuất sắc	DT2	Có ấn phẩm khoa học trong nước/sách/báo cáo hội nghị đạt ngưỡng không?	Có	9		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu cơ bản	50%	20	25	25	22.5	92.5	46.25	85.75	A - Xuất sắc	DT3	Có số công bố quốc tế/FTE đạt ngưỡng so với trung bình quốc gia không?	Có	10		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu cơ bản	50%	20	25	25	22.5	92.5	46.25	85.75	A - Xuất sắc	DT3	Có chi phí trung bình cho mỗi công bố đạt ngưỡng hiệu quả không?	Có	5		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu cơ bản	50%	20	25	25	22.5	92.5	46.25	85.75	A - Xuất sắc	DT3	Có tỷ trọng chi cho nhóm nghiên cứu mạnh đạt ngưỡng không?	Có	10		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu cơ bản	50%	20	25	25	22.5	92.5	46.25	85.75	A - Xuất sắc	DT4	Có tác động đến định hướng học thuật không?	Có	10		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu cơ bản	50%	20	25	25	22.5	92.5	46.25	85.75	A - Xuất sắc	DT4	Có kết quả được sử dụng trong đào tạo đại học/sau đại học không?	Có	10		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu cơ bản	50%	20	25	25	22.5	92.5	46.25	85.75	A - Xuất sắc	DT4	Có vai trò trong chương trình KH&CN/ĐMST không?	Có	2.5		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu ứng dụng	50%	20	20	19	20	79	39.5	85.75	A - Xuất sắc	DT1	Có định hướng nghiên cứu mới gắn với công nghệ chiến lược/mới nổi không?	Có	10		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu ứng dụng	50%	20	20	19	20	79	39.5	85.75	A - Xuất sắc	DT1	Có hợp tác nghiên cứu phù hợp, có triển khai và vai trò rõ ràng không?	Có	5		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu ứng dụng	50%	20	20	19	20	79	39.5	85.75	A - Xuất sắc	DT1	Có cơ chế bảo đảm liêm chính khoa học và đạo đức nghiên cứu không?	Có	5		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu ứng dụng	50%	20	20	19	20	79	39.5	85.75	A - Xuất sắc	DT2	Có công bố khoa học đạt ngưỡng không?	Có	10		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu ứng dụng	50%	20	20	19	20	79	39.5	85.75	A - Xuất sắc	DT2	Có sáng chế/giải pháp hữu ích/đơn đăng ký được chấp nhận không?	Có	10		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu ứng dụng	50%	20	20	19	20	79	39.5	85.75	A - Xuất sắc	DT2	Có mô hình thử nghiệm/thông số kỹ thuật đạt ngưỡng không?	Không	0		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu ứng dụng	50%	20	20	19	20	79	39.5	85.75	A - Xuất sắc	DT3	Có năng suất sở hữu trí tuệ/FTE đạt ngưỡng không?	Có	8		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu ứng dụng	50%	20	20	19	20	79	39.5	85.75	A - Xuất sắc	DT3	Có chi phí trung bình cho mỗi kết quả công nghệ/IP đạt ngưỡng không?	Có	1		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu ứng dụng	50%	20	20	19	20	79	39.5	85.75	A - Xuất sắc	DT3	Có tỷ lệ doanh thu bên ngoài trên tổng doanh thu đạt ngưỡng không?	Có	10		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu ứng dụng	50%	20	20	19	20	79	39.5	85.75	A - Xuất sắc	DT4	Có kết quả nghiên cứu được tiếp nhận/sử dụng/phát triển tiếp không?	Có	10		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu ứng dụng	50%	20	20	19	20	79	39.5	85.75	A - Xuất sắc	DT4	Có kết quả được dùng làm căn cứ ban hành tiêu chuẩn/định mức kỹ thuật ngành không?	Có	10		
2026-05-25 10:09:02	Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội	Nghiên cứu ứng dụng	50%	20	20	19	20	79	39.5	85.75	A - Xuất sắc	DT4	Có mô hình/báo cáo/sản phẩm thúc đẩy liên kết viện-trường-doanh nghiệp không?	Không	0		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu cơ bản	50%	0	6	0	3	9	4.5	27	D - Kém	DT1	Có ban hành hướng nghiên cứu mới và có căn cứ gắn với công nghệ chiến lược/công nghệ mới nổi không?	Không	0		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu cơ bản	50%	0	6	0	3	9	4.5	27	D - Kém	DT1	Có từ 02 đề tài/công bố khoa học gắn trực tiếp với hướng nghiên cứu mới không?	Không	0		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu cơ bản	50%	0	6	0	3	9	4.5	27	D - Kém	DT1	Có nhóm nghiên cứu chuyên trách hoặc kế hoạch đào tạo phục vụ hướng mới không?	Không	0		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu cơ bản	50%	0	6	0	3	9	4.5	27	D - Kém	DT1	Có hạ tầng hoặc liên kết hạ tầng phục vụ hướng nghiên cứu mới không?	Không	0		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu cơ bản	50%	0	6	0	3	9	4.5	27	D - Kém	DT1	Lãnh đạo có chỉ đạo triển khai hướng nghiên cứu mới bằng quyết định/kế hoạch/chỉ tiêu không?	Không	0		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu cơ bản	50%	0	6	0	3	9	4.5	27	D - Kém	DT1	Có hợp tác nghiên cứu với đối tác phù hợp, có triển khai và có vai trò rõ ràng không?	Không	0		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu cơ bản	50%	0	6	0	3	9	4.5	27	D - Kém	DT1	Có quy chế liêm chính khoa học và đạo đức nghiên cứu không?	Không	0		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu cơ bản	50%	0	6	0	3	9	4.5	27	D - Kém	DT2	Có công bố quốc tế đạt ngưỡng tính điểm không?	Có	6		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu cơ bản	50%	0	6	0	3	9	4.5	27	D - Kém	DT2	Có chỉ số FWCI/H-index đạt ngưỡng đánh giá không?	Không	0		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu cơ bản	50%	0	6	0	3	9	4.5	27	D - Kém	DT2	Có ấn phẩm khoa học trong nước/sách/báo cáo hội nghị đạt ngưỡng không?	Không	0		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu cơ bản	50%	0	6	0	3	9	4.5	27	D - Kém	DT3	Có số công bố quốc tế/FTE đạt ngưỡng so với trung bình quốc gia không?	Có	0		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu cơ bản	50%	0	6	0	3	9	4.5	27	D - Kém	DT3	Có chi phí trung bình cho mỗi công bố đạt ngưỡng hiệu quả không?	Không	0		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu cơ bản	50%	0	6	0	3	9	4.5	27	D - Kém	DT3	Có tỷ trọng chi cho nhóm nghiên cứu mạnh đạt ngưỡng không?	Không	0		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu cơ bản	50%	0	6	0	3	9	4.5	27	D - Kém	DT4	Có tác động đến định hướng học thuật không?	Không	0		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu cơ bản	50%	0	6	0	3	9	4.5	27	D - Kém	DT4	Có kết quả được sử dụng trong đào tạo đại học/sau đại học không?	Có	3		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu cơ bản	50%	0	6	0	3	9	4.5	27	D - Kém	DT4	Có vai trò trong chương trình KH&CN/ĐMST không?	Không	0		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu ứng dụng	50%	15	20	0	10	45	22.5	27	D - Kém	DT1	Có định hướng nghiên cứu mới gắn với công nghệ chiến lược/mới nổi không?	Có	10		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu ứng dụng	50%	15	20	0	10	45	22.5	27	D - Kém	DT1	Có hợp tác nghiên cứu phù hợp, có triển khai và vai trò rõ ràng không?	Có	5		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu ứng dụng	50%	15	20	0	10	45	22.5	27	D - Kém	DT1	Có cơ chế bảo đảm liêm chính khoa học và đạo đức nghiên cứu không?	Không	0		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu ứng dụng	50%	15	20	0	10	45	22.5	27	D - Kém	DT2	Có công bố khoa học đạt ngưỡng không?	Có	10		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu ứng dụng	50%	15	20	0	10	45	22.5	27	D - Kém	DT2	Có sáng chế/giải pháp hữu ích/đơn đăng ký được chấp nhận không?	Có	10		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu ứng dụng	50%	15	20	0	10	45	22.5	27	D - Kém	DT2	Có mô hình thử nghiệm/thông số kỹ thuật đạt ngưỡng không?	Không	0		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu ứng dụng	50%	15	20	0	10	45	22.5	27	D - Kém	DT3	Có năng suất sở hữu trí tuệ/FTE đạt ngưỡng không?	Có	0		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu ứng dụng	50%	15	20	0	10	45	22.5	27	D - Kém	DT3	Có chi phí trung bình cho mỗi kết quả công nghệ/IP đạt ngưỡng không?	Có	0		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu ứng dụng	50%	15	20	0	10	45	22.5	27	D - Kém	DT3	Có tỷ lệ doanh thu bên ngoài trên tổng doanh thu đạt ngưỡng không?	Có	0		
2026-06-02 22:13:16	Viện Vi sinh vật và Công nghệ sinh học, ĐHQGHN	Nghiên cứu ứng dụng	50%	15	20	0	10	45	22.5	27	D - Kém	DT4	Có kết quả nghiên cứu được tiếp nhận/sử dụng/phát triển tiếp không?	Có	10		
